,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Category,column_name,attribute_name,attribute_description,modeled,Field Type / Maximum Field Length,Field Description,Example Field Data,Delimiter, Current Refresh - Fill Rate ,Current Refresh - Percent of Total 
Household Composition - Household Members,gen_in_household,Generations,Indicates the number of family generations in a household,No,string(01),"1 = 1 Generation - 1 Adult
2 = 2 Generations - Adult / Child
3 = 3 Generations - Adult / Child / Parent
Unknown = (null)",1,Pipe," 139,260,694 ",49%
Retail Purchase - Credit Card / Financing,num_credit_lines,Purchase Using Credit,Indicates credit purchases made in multiple retail stores,No,string(01),"1 = 1 Line of credit
2 = 2 Lines of credit
3 = 3 Lines of credit
4 = 4 Lines of credit
5 = 5 Lines of credit
6 = 6 Lines of credit
7 = 7 Lines of credit
8 = 8 Lines of credit
9 = 9 Lines of credit
Unknown = (null)",0,Pipe," 70,775,286 ",25%
Household Composition - Household Members,num_of_adult,Number of Adults,Number of adults in the household,No,string(01),"1 = One adult, 
2 = Two adults, 
3 = Three adults, 
4 = Four adults, 
5 = Five adults, 
6 = Six adults, 
7 = Seven adults, 
8 = Eight adults, 
9 = Nine or more adults
Unknown = (null)",5,Pipe," 165,879,217 ",58%
Household Composition - Household Members,num_in_household,Number of People,Number of people in the household,No,string(01),"1 = One person, 
2 = Two persons, 
3 = Three persons, 
4 = Four persons, 
5 = Five persons, 
6 = Six persons, 
7 = Seven persons, 
8 = Eight persons, 
9 = Nine or more persons
Unknown = (null)",1,Pipe," 166,641,915 ",58%
Interest / Hobby - Contributor / Donor,contributor_index,Contributor Index,Indicates propensity to be a charitable donor,Yes,string(02),"1 Very Likely, 2,3,4,5,6,7,8,9, 10 Least Likely / Unknown = (null)",2,Pipe," 111,619,841 ",39%
Household Composition - Household Members,inferred_household_rank,Household Rank,"Indicates the inferred household rank, from 1 - 9, of an individual in the household",No,string(01),"1= Inferred rank in household of 1st
2 = Inferred rank in household of 2nd
3 = Inferred rank in household of 3rd
4 = Inferred rank in household of 4th
5 = Inferred rank in household of 5th
6 = Inferred rank in household of 6th
7 = Inferred rank in household of 7th
8 = Inferred rank in household of 8th
9 = Inferred rank in household of 9th
Unknown = (null)",2,Pipe," 167,739,226 ",59%
Demographic - Age / Gender,Age,Age,Age,No,decimal(03),3 byte decimal value. Range : 18-100.,41,Pipe," 274,509,698 ",96%
Household Composition - Household Members,family_position,Family Position,"Indicates the role of a family member such as husband, wife, grandmother, etc.",No,string(01),"C = Child, 
F = Female head of household, 
G = Grandmother, 
H = Husband, 
M = Male head of household, 
P = Grandfather, 
W = Wife, 
O = Other
Unknown = (null)",G,Pipe," 60,036,269 ",21%
Household Composition - Political,political_affiliation,Political,Political affiliation,No,string(01),"D = Democratic party, 
R = Republican party, 
I = Independent,
Unknown = (null)",I,Pipe," 107,101,747 ",37%
Home Ownership / Property - Home Ownership,residental_properties_owned,Properties Owned,Indicates the estimated number of housing investment properties owned,No,string(01),"integer 1-9
Unknown = (null)",2,Pipe," 6,473,230 ",2%
Demographic - Marital Status,marital_status,Marital Status,Marital status,No,string(01),"M = Married, 
S = Single
Unknown = (null)",M,Pipe," 162,945,296 ",57%
Demographic - Age / Gender,Gender,Gender,Gender,No,string(01),"M(ale), F(emale), B(both),I(Indeterminate),Unknown(null)",F,Pipe," 286,052,860 ",100%
Demographic - Income,Income,Income,Estimated Household Income,Yes,decimal(05),"The middle value in the distribution of income (expressed in thousands). Range : 1-999.
Unknown = (null)",44000,Pipe," 271,879,500 ",95%
Automotive - Auto Owner,rv_own,RV Owner,Recreational vehicle ownership code,No,string(01),Yes(1) / No(null),1,Pipe," 13,156,231 ",5%
Automotive - Auto Owner,truck_owner,Truck Owner,Truck owner code - owns a truck or pickup,No,string(01),Yes(1) / No(null),1,Pipe," 37,424,478 ",13%
Automotive - Motorcycle,motor_cycle,Motorcycle,Motorcycle ownership code,No,string(01),Yes(1) / No(null),1,Pipe," 11,101,956 ",4%
Business - Employee / Owner,working_woman,Working Woman,Indicates that a working woman is present in the household,No,string(01),Yes(1) / No(null),1,Pipe," 66,824,552 ",23%
Business - Firmographic,soho_business,SOHO business,Operates a home based business,No,string(01),Yes(1) / No(null),1,Pipe," 36,752,721 ",13%
Consumer Finance - Mortgage,PRPTY077,Purchased Home in Last Six Months,Indicates homebuyer that purchased within the last six months,No,string(01),Yes(1) / No(null),1,Pipe," 4,163,111 ",1%
Demographic - Education,EDU100,Highest Education Achieved - High School,Indicates the highest education level achieved,No,string(01),Yes(1) / No(null),1,Pipe," 38,491,308 ",13%
Demographic - Education,EDU101,Highest Education Achieved - Some College,Indicates the highest education level achieved,No,string(01),Yes(1) / No(null),1,Pipe," 31,475,103 ",11%
Demographic - Education,EDU102,Highest Education Achieved - College Graduates,Indicates the highest education level achieved,No,string(01),Yes(1) / No(null),1,Pipe," 11,970,865 ",4%
Demographic - Education,EDU103,Highest Education Achieved - Graduate School Graduates,Indicates the highest education level achieved,No,string(01),Yes(1) / No(null),1,Pipe," 2,199,092 ",1%
Demographic - Family Composition,Likely_Recent_Empty_Nester,Likely Recent Empty Divorced,Indicates the likeliness of an empty nester where an adult child (18+) has left the home within the last twelve months,No,string(01),Yes(1) / No(null),1,Pipe," 297,213 ",0%
Demographic - Marital Status,Likely_Recently_Divorced,Likely Recently Divorced,Indicates the likeliness of a divorce within the last twelve months,No,string(01),Yes(1) / No(null),1,Pipe," 595,294 ",0%
Demographic - Veteran Status,PRPTY169,Likely Member of U.S. Military,Likely current or former member of the U.S. Military,No,string(01),Yes(1) / No(null),1,\r\n," 11,731,607 ",4%
Household Composition - Children in Household,childrenage0_3gender_female,Presence of Children Age Gender,Children ages 0 to 3 gender Female,No,string(01),Yes(1) / No(null),1,Pipe," 1,139,249 ",0%
Household Composition - Children in Household,childrenage0_3gender_male,Presence of Children Age Gender,Children ages 0 to 3 gender Male,No,string(01),Yes(1) / No(null),1,Pipe," 1,083,396 ",0%
Household Composition - Children in Household,childrenage10_12gender_female,Presence of Children Age Gender,Children ages 10 to 12  gender Female,No,string(01),Yes(1) / No(null),1,Pipe," 13,557,296 ",5%
Household Composition - Children in Household,childrenage10_12gender_male,Presence of Children Age Gender,Children ages 10 to 12 gender Male,No,string(01),Yes(1) / No(null),1,Pipe," 12,573,840 ",4%
Household Composition - Children in Household,childrenage13_18gender_female,Presence of Children Age Gender,Children ages 13 to 18 gender Female,No,string(01),Yes(1) / No(null),1,Pipe," 11,869,346 ",4%
Household Composition - Children in Household,childrenage13_18gender_male,Presence of Children Age Gender,Children ages 13 to 18 gender Male,No,string(01),Yes(1) / No(null),1,Pipe," 10,914,061 ",4%
Household Composition - Children in Household,childrenage4_6gender_female,Presence of Children Age Gender,Children ages 4 to 6 gender Female,No,string(01),Yes(1) / No(null),1,Pipe," 5,988,370 ",2%
Household Composition - Children in Household,childrenage4_6gender_male,Presence of Children Age Gender,Children ages 4 to 6 gender Male,No,string(01),Yes(1) / No(null),1,Pipe," 5,673,336 ",2%
Household Composition - Children in Household,childrenage7_9gender_female,Presence of Children Age Gender,Children ages 7 to 9 gender Female,No,string(01),Yes(1) / No(null),1,Pipe," 12,159,005 ",4%
Household Composition - Children in Household,childrenage7_9gender_male,Presence of Children Age Gender,Children ages 7 to 9 gender Male,No,string(01),Yes(1) / No(null),1,Pipe," 11,825,126 ",4%
Household Composition - Children in Household,poc,Children in Household - All Ages,Indicates households with presence of children,No,string(01),Yes(1) / No(null),1,Pipe," 108,930,347 ",38%
Household Composition - Grandchildren,general_info_grandchildren_le_,Grandchildren,Grandchildren less than or equal to 12 years old,No,string(01),Yes(1) / No(null),1,Pipe," 17,138,526 ",6%
Household Composition - Household Members,presence_of_elderly_parent,Elderly Parent,Presence of elderly relative,No,string(01),Yes(1) / No(null),1,Pipe," 51,238,987 ",18%
Household Composition - Household Members,young_adult_in_household,Young Adult,Young adult in household,No,string(01),Yes(1) / No(null),1,Pipe," 32,174,129 ",11%
Household Composition - Military,veteran_in_household,Veteran,Veteran in household,No,string(01),Yes(1) / No(null),1,Pipe," 7,706,075 ",3%
Household Composition - Pet Owner,pets,Pet Owner,Owns at least one pet,No,string(01),Yes(1) / No(null),1,Pipe," 58,316,340 ",20%
Household Composition - Pet Owner,pets_own_at_least_one_cat,Cat Owner,Owns at least one cat,No,string(01),Yes(1) / No(null),1,Pipe," 29,492,098 ",10%
Household Composition - Pet Owner,pets_own_at_least_one_dog,Dog Owner,Owns at least one dog,No,string(01),Yes(1) / No(null),1,Pipe," 43,020,608 ",15%
Household Composition - Political,voter_indicator,Voter,Known registered voter,No,string(01),Yes(1) / No(null),1,Pipe," 78,271,301 ",27%
Household Composition - Property,CHILD0,0 Children in Household,Indicates presence of no children in a household,No,string(01),Yes(1) / No(null),1,Pipe," 26,509,491 ",9%
Household Composition - Property,CHILD1,1 Children in Household,Indicates presence of one child in a household,No,string(01),Yes(1) / No(null),1,Pipe," 45,199,460 ",16%
Household Composition - Property,CHILD2,2 Children in Household,Indicates presence of two children in a household,No,string(01),Yes(1) / No(null),1,Pipe," 28,147,087 ",10%
Household Composition - Property,CHILD3,3 Children in Household,Indicates presence of three children in a household,No,string(01),Yes(1) / No(null),1,Pipe," 18,017,283 ",6%
Household Composition - Property,CHILD4,4+ Children in Household,Indicates presence of four or more children in a household,No,string(01),Yes(1) / No(null),1,Pipe," 17,099,861 ",6%
Interest / Hobby - Arts / Photography,cultural_artistic,Cultural Arts,Interest in cultural / artistic,No,string(01),Yes(1) / No(null),1,Pipe," 1,406,450 ",0%
Interest / Hobby - Arts / Photography,hobby_photography,Photography,Interest in photography or videography,No,string(01),Yes(1) / No(null),1,Pipe," 25,106,100 ",9%
Interest / Hobby - Auto & Vehicles,auto_motorcycle_racing,Auto / Motorcycle Racing,Interest in auto / motorcycle racing,No,string(01),Yes(1) / No(null),1,Pipe," 16,452,006 ",6%
Interest / Hobby - Auto & Vehicles,auto_work,Auto Work,Interest in auto work,No,string(01),Yes(1) / No(null),1,Pipe," 59,957,111 ",21%
Interest / Hobby - Auto & Vehicles,cars,Cars,Car interest,No,string(01),Yes(1) / No(null),1,Pipe," 42,634,286 ",15%
Interest / Hobby - Business,career_minded,Career Minded,Career minded interest,No,string(01),Yes(1) / No(null),1,Pipe," 29,615,407 ",10%
Interest / Hobby - Children,children_interests,Children Interest,Interest in children's activities,No,string(01),Yes(1) / No(null),1,Pipe," 72,306,260 ",25%
Interest / Hobby - Children,toys,Toys,Interest in toys,No,string(01),Yes(1) / No(null),1,Pipe," 62,866,953 ",22%
Interest / Hobby - Collector,collect_specialfoodsbuyer,Collector Special Foods,Collects special foods buyer,No,string(01),Yes(1) / No(null),1,Pipe," 55,560,443 ",19%
Interest / Hobby - Collector,collector_antiques,Collector Antiques,Collects antiques,No,string(01),Yes(1) / No(null),1,Pipe," 68,313,226 ",24%
Interest / Hobby - Collector,collector_coins,Collector Coins ,Collects coins,No,string(01),Yes(1) / No(null),1,Pipe," 20,562,467 ",7%
Interest / Hobby - Collector,collector_dolls,Collector Dolls,Collects dolls,No,string(01),Yes(1) / No(null),1,Pipe," 3,332,914 ",1%
Interest / Hobby - Collector,collector_figurines,Collector Figurines,Collects figurines,No,string(01),Yes(1) / No(null),1,Pipe," 4,692,931 ",2%
Interest / Hobby - Collector,collector_fine_arts,Collector Fine Art,Collects fine art,No,string(01),Yes(1) / No(null),1,Pipe," 4,957,411 ",2%
Interest / Hobby - Collector,collector_music,Collector Music,Interest in collecting music,No,string(01),Yes(1) / No(null),1,Pipe," 6,086,957 ",2%
Interest / Hobby - Collector,collector_plates,Collector Plates,Collects plates,No,string(01),Yes(1) / No(null),1,Pipe," 2,342,740 ",1%
Interest / Hobby - Collector,collector_sports_memorabilia,Collector Sports Memorabilia,Collects sports memorabilia,No,string(01),Yes(1) / No(null),1,Pipe," 16,911,334 ",6%
Interest / Hobby - Collector,collector_stamps,Collector Stamps,Collects stamps,No,string(01),Yes(1) / No(null),1,Pipe," 11,363,476 ",4%
Interest / Hobby - Collector,collectors,Collectors,Collectors,No,string(01),Yes(1) / No(null),1,Pipe," 78,854,631 ",28%
Interest / Hobby - Contributor / Donor,contribute_animal,Contributor Animal,Animal contributor,No,string(01),Yes(1) / No(null),1,Pipe," 15,733,146 ",6%
Interest / Hobby - Contributor / Donor,contribute_childrens,Contributor Children,Children's' contributor,No,string(01),Yes(1) / No(null),1,Pipe," 19,152,916 ",7%
Interest / Hobby - Contributor / Donor,contribute_environm,Contributor Environmental,Environmental contributor,No,string(01),Yes(1) / No(null),1,Pipe," 20,973,868 ",7%
Interest / Hobby - Contributor / Donor,contribute_health,Contributor Health,Health contributor,No,string(01),Yes(1) / No(null),1,Pipe," 32,526,070 ",11%
Interest / Hobby - Contributor / Donor,contribute_political,Contributor Political,Political contributor,No,string(01),Yes(1) / No(null),1,Pipe," 68,222,023 ",24%
Interest / Hobby - Contributor / Donor,contribute_political_conservat,Contributor Political Conservative,Donates to conservative political party,No,string(01),Yes(1) / No(null),1,Pipe," 56,311,389 ",20%
Interest / Hobby - Contributor / Donor,contribute_political_liberal,Contributor Political Liberal,Donates to liberal party,No,string(01),Yes(1) / No(null),1,Pipe," 7,927,245 ",3%
Interest / Hobby - Contributor / Donor,contribute_religious,Contributor Religion,Religious contributor,No,string(01),Yes(1) / No(null),1,Pipe," 21,860,155 ",8%
Interest / Hobby - Contributor / Donor,contribute_veterans,Contributor Veteran,Veterans contributor,No,string(01),Yes(1) / No(null),1,Pipe," 13,799,365 ",5%
Interest / Hobby - Contributor / Donor,contributors,Contributors,General contributor,No,string(01),Yes(1) / No(null),1,Pipe," 95,411,638 ",33%
Interest / Hobby - Contributor / Donor,donor_arts_or_cultural,Donor Arts,Donates to art / cultural causes,No,string(01),Yes(1) / No(null),1,Pipe," 1,096,951 ",0%
Interest / Hobby - Crafts,art_craft,Art and Crafts,Interest in arts and crafts,No,string(01),Yes(1) / No(null),1,Pipe," 97,180,120 ",34%
Interest / Hobby - Crafts,hobby_crafts,Crafts,Interest in crafts,No,string(01),Yes(1) / No(null),1,Pipe," 90,032,014 ",31%
Interest / Hobby - Crafts,hobby_knitting_or_needlework,Knitting,Interest in knitting or needlework,No,string(01),Yes(1) / No(null),1,Pipe," 29,716,156 ",10%
Interest / Hobby - Crafts,hobby_quilting,Quilting,Interest in quilting,No,string(01),Yes(1) / No(null),1,Pipe," 2,700,439 ",1%
Interest / Hobby - Crafts,hobby_sewing,Sewing,Interest in sewing,No,string(01),Yes(1) / No(null),1,Pipe," 29,553,813 ",10%
