number,Category,column_name,attribute_name,Description,Datatype
1,Identifier,BLU_ID,Blu ID,Individual Consumer Blu ID,id
2,Identifier,TransUnionHouseholdID,Household ID,Household ID,id
3,Demographic - Age / Gender,Gender,Gender,Gender,categorical
4,Demographic - Income,Income,Income,Estimated Household Income,numeric
5,Demographic - Age / Gender,Age,Age,Age,numeric
6,Demographic - Marital Status,Likely_Recently_Divorced,Likely Recently Divorced,Indicates the likeliness of a divorce within the last twelve months,dummy
7,Demographic - Family Composition,Likely_Recent_Empty_Nester,Likely Recent Empty Nester,Indicates the likeliness of an empty nester where an adult child (18+) has left the home within the last twelve months,dummy
8,Interest / Hobby - Health / Fitness,aerobics,Aerobics,Interest in aerobics,dummy
9,Interest / Hobby - Crafts,art_craft,Art and Crafts,Interest in arts and crafts,dummy
10,Interest / Hobby - Auto & Vehicles,auto_motorcycle_racing,Auto / Motorcycle Racing,Interest in auto / motorcycle racing,dummy
11,Retail Purchase - Auto & Vehicles,auto_parts_repair_accesories_w,Auto Parts Purchase,"Automotive, auto parts and accessories purchase within the last 24 months",dummy
12,Interest / Hobby - Auto & Vehicles,auto_work,Auto Work,Interest in auto work,dummy
13,Interest / Hobby - Reading,avid_readers,Avid Reader,"Avid readers - enjoy reading books, magazines, newspapers",dummy
14,Consumer Finance - Credit Card,bank_card,Bank Card,Owns a bank card,dummy
15,Interest / Hobby - Sports / Outdoor,baseball,Baseball,Likes baseball,dummy
16,Interest / Hobby - Sports / Outdoor,basketball,Basketball,Likes basketball,dummy
17,Interest / Hobby - Sports / Outdoor,boating_or_sailing,Boating / Sailing,Likes boating / sailing,dummy
18,Retail Purchase - Reading,bookbuyer,Book Buyer,Book buyer,dummy
19,Interest / Hobby - Outdoor,camping_or_hiking,Camping / Hiking,Likes camping / hiking,dummy
20,Interest / Hobby - Business,career_minded,Career Minded,Career minded interest,dummy
21,Interest / Hobby - Auto & Vehicles,cars,Cars,Car interest,dummy
22,Interest / Hobby - Gambling,casino_gambling,Casino / Gambling,Interest in casino gambling,dummy
23,Consumer Finance - Credit Card,cc_premium_american_express,Premium Card - American Express,Owns premium American Express credit card (gold or black),dummy
24,Consumer Finance - Credit Card,cc_premium_discover,Premium Card - Discover,Owns premium Discover credit card,dummy
25,Consumer Finance - Credit Card,cc_premium_store_or_retail,Premium Card - Retail or Store,Owns premium retail or store credit card,dummy
26,Consumer Finance - Credit Card,cc_premium_visa_or_mastercard,Premium Card - MasterCard or Visa,Owns premium MasterCard or Visa credit card,dummy
27,Consumer Finance - Credit Card,cc_regular_american_express,Regular Card - American Express,Owns regular American Express credit card,dummy
28,Consumer Finance - Credit Card,cc_regular_discover,Regular Card - Discover,Owns regular Discover credit card,dummy
